X, Z, P
9.51925000e-04, -9.82175000e-05, 1.49665000e+01
9.58335000e-04, -9.93250000e-05, 1.49134000e+01
9.64745000e-04, -1.00833000e-04, 1.48622000e+01
9.71155000e-04, -1.02740000e-04, 1.48134000e+01
9.77565000e-04, -1.05045000e-04, 1.47674000e+01
9.83975000e-04, -1.07745000e-04, 1.47246000e+01
9.90385000e-04, -1.10840000e-04, 1.46850000e+01
9.96795000e-04, -1.14322000e-04, 1.46489000e+01
1.00320500e-03, -1.18193000e-04, 1.46163000e+01
1.00961500e-03, -1.22442000e-04, 1.45872000e+01
1.01602500e-03, -1.27068000e-04, 1.45615000e+01
1.02243500e-03, -1.32068000e-04, 1.45390000e+01
1.02884500e-03, -1.37433000e-04, 1.45195000e+01
1.03525500e-03, -1.43160000e-04, 1.45029000e+01
1.04166500e-03, -1.49245000e-04, 1.44888000e+01
1.04807500e-03, -1.55680000e-04, 1.44770000e+01
1.05448500e-03, -1.62458000e-04, 1.44673000e+01
1.06089500e-03, -1.69567000e-04, 1.44594000e+01
1.06730500e-03, -1.77005000e-04, 1.44530000e+01
1.07371500e-03, -1.84762000e-04, 1.44480000e+01
1.08012500e-03, -1.92835000e-04, 1.44441000e+01
1.08653500e-03, -2.01212000e-04, 1.44412000e+01
1.09294500e-03, -2.09885000e-04, 1.44391000e+01
1.09935500e-03, -2.18842000e-04, 1.44377000e+01
1.10576500e-03, -2.28077000e-04, 1.44368000e+01
1.11217500e-03, -2.37583000e-04, 1.44363000e+01
1.11858500e-03, -2.47340000e-04, 1.44362000e+01
1.12500000e-03, -2.57345000e-04, 1.44363000e+01
1.13141500e-03, -2.67590000e-04, 1.44366000e+01
1.13782500e-03, -2.78062000e-04, 1.44371000e+01
1.14423500e-03, -2.88750000e-04, 1.44377000e+01
1.15064500e-03, -2.99640000e-04, 1.44384000e+01
1.15705500e-03, -3.10725000e-04, 1.44391000e+01
1.16346500e-03, -3.21992000e-04, 1.44399000e+01
1.16987500e-03, -3.33427000e-04, 1.44407000e+01
1.17628500e-03, -3.45022000e-04, 1.44415000e+01
1.18269500e-03, -3.56763000e-04, 1.44424000e+01
1.18910500e-03, -3.68635000e-04, 1.44432000e+01
1.19551500e-03, -3.80630000e-04, 1.44440000e+01
1.20192500e-03, -3.92733000e-04, 1.44449000e+01
1.20833500e-03, -4.04935000e-04, 1.44457000e+01
